SL NO,District ,COVID 19 Helpline Numbers
1,Bagalkote,"08354-236240, 08354-236240"
2,Bellary,"08392-1077, 08392-2777100"
3,Belagavi,"0831-24047290, 0831-242484"
4,Bengaluru Urban,"080-1077, 080-22967200"
5,Bengaluru Rural,080-29781021
6,Bidar,18004254316
7,Chamarajanagar,"08226-1077, 08226-223160"
8,Chikkabalapur,08156-1077/277071
9,Chickamangaluru,"08262-238950, 08262-1077"
10,Chitradurga,08194-222050/ 222044
11,Davangere,"08192-234034, 08192-1077"
12,Dharwad,0836-1077/2447547
13,Gadag,"08372-239177, 08372-1077"
14,Hassan,08172-261111/1077
15,Haveri,08375-249102/ 249109
16,Kalaburgi,"08472278698, 08472278677"
17,Uttara Kannada,08382-229857
18,Kolar,01852-24521
19,Koppal,08539-225001
20,Kodagu,"0827-2220606, 08272-1077"
21,Mandya,"08231-1077, 08232-224655"
22,Dakshina Kannada,"0824-1077, 0824-2442590"
23,Mysuru,"0821-2423800, 0821-1077"
24,Raichur,"08532-228559, 08535-1095"
25,Ramanagara,"080-27271195, 080-27276615"
26,Shivamogga,"08182-221010, 08182-1077"
27,Tumakuru,"08162-1077, 278787"
28,Udupi,"9663957222, 9663950222"
29,Vijaypura,"08352-1077, 08352221261"
30,Yadagiri,"08473-253950, 9449933946"
