Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,9/3/2020,6:00 PM,Karnataka,1,0,0,0,1
2,10/3/2020,6:00 PM,Karnataka,4,0,0,0,4
3,11/3/2020,6:00 PM,Karnataka,4,0,0,0,4
4,12/3/2020,6:00 PM,Karnataka,4,0,0,0,4
5,13/03/20,6:00 PM,Karnataka,6,0,0,1,6
6,14/03/20,6:00 PM,Karnataka,6,0,0,1,6
7,15/03/20,6:00 PM,Karnataka,6,0,0,1,6
8,16/03/20,6:00 PM,Karnataka,6,0,0,1,6
9,17/03/20,6:00 PM,Karnataka,11,0,0,1,11
10,18/03/20,6:00 PM,Karnataka,11,0,0,1,11
11,19/03/20,6:00 PM,Karnataka,14,0,0,1,14
12,20/03/20,6:00 PM,Karnataka,15,0,1,1,15
13,21/03/20,6:00 PM,Karnataka,15,0,1,1,15
14,22/03/20,6:00 PM,Karnataka,26,0,2,1,26
15,23/03/20,6:00 PM,Karnataka,33,0,2,1,33
16,24/03/20,6:00 PM,Karnataka,37,0,3,1,37
17,25/03/20,6:00 PM,Karnataka,41,0,3,1,41
18,26/03/20,6:00 PM,Karnataka,55,0,3,2,55
19,27/03/20,10:00 AM,Karnataka,55,0,3,2,55
20,28/03/20,6:00 PM,Karnataka,55,0,3,2,55
21,29/03/20,7:30 PM,Karnataka,-,-,5,3,76
22,30/03/20,9:30 PM,Karnataka,-,-,5,3,83
23,31/03/20,8:30 PM,Karnataka,-,-,5,3,83
24,1/4/2020,7:30 PM,Karnataka,-,-,8,3,101
25,2/4/2020,6:00 PM,Karnataka,-,-,9,3,110
26,3/4/2020,6:00 PM,Karnataka,-,-,10,3,124
27,4/4/2020,6:00 PM,Karnataka,-,-,12,3,128
28,5/4/2020,6:00 PM,Karnataka,-,-,12,4,144
29,6/4/2020,6:00 PM,Karnataka,-,-,12,4,151
30,7/4/2020,6:00 PM,Karnataka,-,-,25,4,175
31,8/4/2020,5:00 PM,Karnataka,-,-,25,4,175
32,9/4/2020,5:00 PM,Karnataka,-,-,28,5,181
33,10/4/2020,5:00 PM,Karnataka,-,-,30,6,197
34,11/4/2020,5:00 PM,Karnataka,-,-,37,6,214
35,12/4/2020,5:00 PM,Karnataka,-,-,37,6,226
36,13/04/20,5:00 PM,Karnataka,-,-,59,6,247
37,14/04/20,5:00 PM,Karnataka,-,-,65,9,258
38,15/04/20,5:00 PM,Karnataka,-,-,75,11,277
39,16/04/20,5:00 PM,Karnataka,-,-,82,13,315
40,17/04/20,5:00 PM,Karnataka,-,-,82,13,353
41,18/04/20,5:00 PM,Karnataka,-,-,92,13,371
42,19/04/20,5:00 PM,Karnataka,-,-,104,14,384
43,20/04/20,5:00 PM,Karnataka,-,-,111,16,395
44,21/04/20,5:00 PM,Karnataka,-,-,114,17,415
45,22/04/20,5:00 PM,Karnataka,-,-,129,17,425
